,journal,title,ISSN,DOI,authors,affilations,date,pages,abstract,raw_url,keywords
56,International Journal of Fluid Power,Fuel optimal controller for hydrostatic drives and real-world experiments on a wheel loader,2332-1180,10.1080/14399776.2016.1202081,"['Joni Backas', 'Reza Ghabcheloo', 'Seppo Tikkanen', 'Kalevi Huhtala']","['Department of Intelligent Hydraulics and Automation, Tampere University of Technology, Tampere, Finland', 'Department of Intelligent Hydraulics and Automation, Tampere University of Technology, Tampere, Finland', 'Department of Intelligent Hydraulics and Automation, Tampere University of Technology, Tampere, Finland', 'Department of Intelligent Hydraulics and Automation, Tampere University of Technology, Tampere, Finland']",2018-03-01,187-201,"In this study, we design a fuel optimal controller for hydrostatic drive transmissions (HSD) that significantly improves their fuel economy. Contrary to great proportion of the literature, efficacy of the controller is demonstrated by real machine implementation equipped with online fuel consumption measurement system. The main control objective of the devised controller is to minimise consumed fuel per travelled distance. Control commands are determined utilizing steady-state equations of the system, which facilitates real-time implementation. Dynamic situations are addressed with auxiliary functions running at higher frequency than the fuel economy part of the controller. The machine is a 5-ton wheel loader with pure HSD and no energy storage devices installed. In addition, all the components are commercially available. Thus, structure of the HSD and presented improvements in fuel economy are comparable to commercial machines and retrofitting existing drive-by-wire machinery with proposed controller will require little cost. The optimal controller is compared to a rule-based alternative that is based on a control method utilized in commercial wheel loaders. In autonomously driven drive cycles, measured total fuel consumption reduced up to 16.6% with the devised controller. In addition, the functionality of the controller is proven in extreme hill climbing tests.",https://journals.riverpublishers.com/index.php/IJFP/article/view/169,"['Fuel economy', 'power management', 'energy efficiency', 'power transmission', 'non-road mobile machinery']"
57,International Journal of Fluid Power,"A FREE PISTON COMPRESSOR AS A PNEUMATIC MOBILE ROBOT POWER SUPPLY: DESIGN, CHARACTERIZATION AND EXPERIMENTAL OPERATION",2332-1180,,"['José A. Riofrio', 'Eric J. Barth']","['Department of Mechanical Engineering – Vanderbilt University, Nashville, Tennessee, USA', 'Department of Mechanical Engineering – Vanderbilt University, Nashville, Tennessee, USA']",2007-08-01,17-28,"The design and dynamic characterization of a free piston compressor (FPC) is presented in this paper. The FPC is a proposed device that utilizes combustion of a hydrocarbon fuel to compress air into a high-pressure supply tank, thus serving as a portable pneumatic power supply for mobile untethered robotic systems. The device is configured such that the transduction from thermal energy to stored energy, in the form of compressed gas, is efficient relative to other smallscale portable power supply systems. This efficiency is achieved by matching the dynamic load of the compressor to the ideal adiabatic expansion of the hot gas combustion products. It is shown that a load that is dominantly inertial provides a nearly ideally matched load for achieving high thermodynamic efficiency in a heat engine. The device proposed exploits this fact by converting thermal energy first into kinetic energy of the free piston, and then compressing air during a separate compressor phase. The proposed technology is intended to provide a compact pneumatic power supply source appropriate for human-scale robots. An analytical model of the proposed device is developed, and an FPC prototype is designed and built and its yielded experimental results are compared with theoretical.",https://journals.riverpublishers.com/index.php/IJFP/article/view/544,"['free-piston engine', 'over expansion engine', 'pneumatic compressor', 'portable power supply', 'untethered robots']"
58,International Journal of Fluid Power,Understanding overall efficiency of hydrostatic pumps and motors,2332-1180,10.1080/14399776.2018.1476306,"['Gustavo Koury Costa', 'Nariman Sepehri']","['Department of Mechanics, Federal Institute of Science and Technology of the State of Pernambuco, Recife, Brazil', 'Department of Mechanical Engineering, University of Manitoba, Winnipeg, MB, Canada']",2018-08-01,106-116,"Pump and motor efficiency is a complex subject, to such an extent that most of the available models describing efficiency today rely on experimental data. In spite of that, mathematical models relating efficiency to pressure and angular speed have been proposed throughout the years. In all these models, volumetric and mechanical efficiencies are separately built from flow and torque losses relations. The overall efficiency model is then obtained by multiplying the volumetric and the mechanical efficiency equations. In this paper, we show that the overall efficiency equations must be developed from an energy balance and show that the simple multiplication of mechanical and volumetric efficiencies can potentially lead to inaccurate results. We then obtain a generalised equation relating the overall efficiency to pressure and angular speed for both pumps and motors and show how the resulting model can be fitted to actual experimental data.",https://journals.riverpublishers.com/index.php/IJFP/article/view/147,"['overall efficiency', 'hydraulic motors', 'Hydraulic pumps']"
59,International Journal of Fluid Power,Flow measurement for the pre-stage of jet pipe servo valve using 2D -PIV technique,2332-1180,10.1080/14399776.2018.1514931,"['Jianjun Hu', 'Zehe Yang', 'Zeng Huang', 'Yaolan Jin', 'Bin Yu', 'Xiangdong Kong']","['College of Mechanical Engineering, Yanshan University, Qinhuangdao, PR China', 'College of Mechanical Engineering, Yanshan University, Qinhuangdao, PR China', 'Fourth Military Product Department, The No. 704 Research Institute of China Shipbuilding Industry Corporation, Shanghai, PR China', 'Fourth Military Product Department, The No. 704 Research Institute of China Shipbuilding Industry Corporation, Shanghai, PR China', 'College of Mechanical Engineering, Yanshan University, Qinhuangdao, PR China and National and Local Joint Engineering Center for Advanced Forging Press Forming Technology and Equipment, Yanshan University, Qinhuangdao, PR China', 'College of Mechanical Engineering, Yanshan University, Qinhuangdao, PR China and National and Local Joint Engineering Center for Advanced Forging Press Forming Technology and Equipment, Yanshan University, Qinhuangdao, PR China']",2018-11-01,165–172,"In order to investigate the internal flow field characteristic for the pre-stage of jet pipe servo valve, a large-scale low-speed flow field visualisation experimental platform was developed. The internal flow field for the pre-stage of jet pipe servo valve was measured directly by particle image velocimetry (PIV), and its internal flow characteristics were obtained. The experimental results show that four vortices exist in the upper area and the lower area of the lower chamber of pre-stage. The upper chamber has two wide range of vortex in the prestage of jet pipe servo valve, and the vortex scale increases with the increase of flow rate. With the flow rate increases, the vortex in the upper area will disappear. The scale of the vortex in the lower area gradually increases with the increase of the flow rate, and the position gradually moves upwards. Under different deflection angles of jet pipe, the main characteristics of the vortex pre-stage are roughly the same, but the size and core of the vortex are different. The results provide a reference for the structural optimisation of the jet pipe servo valve.",https://journals.riverpublishers.com/index.php/IJFP/article/view/428,"['Jet pipe servo valve', 'particle image velocimetry(PIV)', 'flow field', 'vortex']"
60,International Journal of Fluid Power,DETERMINATION OF CHARACTERISTICS FOR ELECTRICALLY MODULATED PNEUMATIC CONTROL VALVES USING ISOTHERMAL CHAMBERS,2332-1180,,"['Tao Wang', 'Kenji Kawashima', 'Toshiharu Kagawa']","['School of Information Technology, Beijing Institute of Technology, No.5 South Zhongguancun Street, Haidian District, Beijing 100081, China', 'Precision and Intelligence Laboratory, Tokyo Institute of Technology, Nagatsuta-cho 4259, Midori-ku, Yokohama 226-8503, Japan', 'Precision and Intelligence Laboratory, Tokyo Institute of Technology, Nagatsuta-cho 4259, Midori-ku, Yokohama 226-8503, Japan']",2007-11-01,5-11,"In the present paper, an automatic test bench is developed for determining the main characteristics of electrically modulated pneumatic control valves using isothermal chambers. In particular, the pressure-flow rate characteristics can be obtained by simply measuring the pressure response inside the isothermal chamber during charge and discharge of air to the chamber. The proposed test bench has a shorter measurement time of only seconds and a lower air consumption as compared to the improved conventional method. Furthermore, the frequency dynamic characteristics with volume load can be measured more accurately owing to the use of an isothermal chamber as a load chamber. The high measurement efficiency and energy savings of the developed test bench are demonstrated herein.",https://journals.riverpublishers.com/index.php/IJFP/article/view/533,"['pneumatic control valves', 'flow rate-pressure characteristics', 'dynamic characteristics', 'test bench', 'isothermal chamber']"
61,International Journal of Fluid Power,Investigation on the Effect of Impeller Design Parameters on Performance of a Low Specific Speed Centrifugal Pump Using Taguchi Optimization Method,2332-1180,10.13052/ijfp1439-9776.2322,"['Hadi  Ayremlouzadeh', 'Samad  Jafarmadar', 'Seyed Reza  Amini Niaki']","['Mechanical Engineering Department, Faculty of Engineering, Urmia University, Urmia, Iran', 'Mechanical Engineering Department, Faculty of Engineering, Urmia University, Urmia, Iran', 'Japan Agency for Marine-Earth Science and Technology; 3173-25 Showa-machi, Kanazawa-ku, Yokohama 236-0001, Japan']",2022-01-12,161–182,"In order to investigate the effect of blade design on pump performance, a CFD analysis was carried out, and the results were compared with experimental performance data of a low specific speed radial pump, which presents a good agreement. After model verification, the effect of impeller geometrical parameters includes blade outlet angle, wrap angle, and width at the exit, was investigated on the pump’s performance. Moreover, these parameters were chosen on three levels using an L9 orthogonal standard array of the Taguchi optimization method. The efficient levels of variables were calculated using the analysis of variance (ANOVA) method. The results revealed that impeller width at exit and blade outlet angle is the most effective pump shaft power and efficiency parameters. To minimize power, the optimal levels are the outlet angle of 27∘∘, wrap angle of 150∘∘, and width at the exit of 9 mm. Further, an outlet angle of 23∘∘, a wrap angle of 155∘∘, and a width at the exit of 9 mm lead to maximum pump efficiency. According to the validation simulations, an increase of 2.4% inefficiency and a minimum power of 3.9KW were achieved. The Overall Evaluation Criteria (OEC) technique revealed that considering 23∘∘, 160∘∘, and 9 mm for outlet angle, wrap angle, and width at the exit, minimum shaft power, and maximum pump efficiency will be achieved. ANOVA introduced width at the exit as the most governing parameter of pump performance characteristics.",https://journals.riverpublishers.com/index.php/IJFP/article/view/11273,"['centrifugal pump performance', 'blade outlet angle', 'blade wrap angle', 'width at exit', 'CFD', 'Taguchi optimization method']"
62,International Journal of Fluid Power,Optimal routing of pipes in a virtual environment using nonlinear programming,2332-1180,10.1080/14399776.2016.1155945,"['Friedrich Kohlmai', 'Volker Baumbach', 'Christof Büskens', 'Matthias Knauer']","['Centre for Industrial Mathematics, University of Bremen, Bremen, Germany', 'Hydraulic Systems Performance & Integrity, Airbus, Bremen, Germany', 'Centre for Industrial Mathematics, University of Bremen, Bremen, Germany', 'Centre for Industrial Mathematics, University of Bremen, Bremen, Germany']",2016-08-01,102-113,"Nowadays the routing of pipes inside or outside of structural components is usually done with CAD tools like CATIA. Up to now it is the task of design-engineers to manually find a connection between two points in ℝ3 which on one hand respects all design directives and on the other hand minimises the weight of the pipe. As in general the number of feasible routings is very high, if not infinite, it is almost impossible to find an optimal solution without a powerful algorithm and an immense amount of development time. This paper presents a mathematical framework which allows the designer to automatically generate the optimal routing. To do so, the aforementioned problem is treated as an optimisation problem. With the mass of the pipe as the cost function to be minimised and the design directives handled as equality and inequality constraints, this leads to a nonlinear problem (NLP) which is solved by WORHP – a large-scale sparse NLP solver. A series of practically relevant scenarios like routings close to structural components, routings with standard bending angles as well as network routings for metallic and non-metallic pipes are investigated. First tests with real assemblies reveal that a significant reduction of the total mass is achieved by optimising the existing routing.",https://journals.riverpublishers.com/index.php/IJFP/article/view/172,"['Optimal routing of pipes', 'piping', 'wiring', 'nonlinear programming', 'NLP solver WORHP', 'CAT IA']"
63,Journal of Web Engineering,LOD Construction Through Supervised Web Relation Extraction and Crowd Validation,1544-5976,,"['Goran Rumin', 'Igor Mekterović']","['Infobip, Zagreb, Croatia', 'University of Zagreb Faculty of Electrical Engineering and Computing, Croatia']",2019-01-01,,"Free, unstructured text is the dominant format in which information is stored and published. To interpret such vast amount of data one must employ a programmatic approach. In this paper, we describe a novel approach – a pipeline in which interesting relations are extracted from web portals news texts, stored as RDF triplets, and finally validated by end user via browser extension. In the process, different machine learning algorithms were tested on relation extraction, enhanced with our own set of features and thoroughly evaluated, with excellent precision and recall results compared to models used for semantic knowledge expansion. Building on those results, we implement and describe the component to resolve discovered entities to existing semantic entities from three major online repositories. Finally, we implement and describe the validation process in which RDF triplets are presented to the web portal reader for validation via Chrome extension.",https://journals.riverpublishers.com/index.php/JWE/article/view/3183,"['Relation Extraction', 'Machine Learning', 'RDF', 'Linked Open Data', 'Crowd validation', 'Semantic Web', 'Web Application']"
64,International Journal of Fluid Power,Development of a Dual Supply H-Bridge Amplifier for High Speed Actuation of Digital Hydraulic Switching Valves,2332-1180,10.13052/ijfp1439-9776.2015,"['Florian Messner', 'Rudolf Scheidl']","['Institute of Machine Design and Hydraulic Drives, Johannes Kepler University Linz, Altenbergerstrasse 69, 4040 Linz, Austria;', 'Institute of Machine Design and Hydraulic Drives, Johannes Kepler University Linz, Altenbergerstrasse 69, 4040 Linz, Austria;']",2019-05-20,125–150,"For many digital hydraulic systems, fast and precise valve actuation is a key to improve efficiency and performance. Such an actuation may be achieved by optimizing the valve design from a mechanical and hydraulically point of view. But additionally, power electronics for valve actuation has to be given also high attention since it can have significant influence on valve dynamics, particularly in case of high-speed actuation with switching times in the range of 1 ms or less. Such actuation poses requirements that are not met by standard power electronics. These requirements are analysed in this paper and a proper schematic for the power electronics is derived. Measurements with a corresponding prototype prove that a fast, precise and very repeatable valve actuation can be achieved if the power electronics is conceived according to the characteristics of high speed valves.",https://journals.riverpublishers.com/index.php/IJFP/article/view/355,"['digital hydraulics', 'fast switching valves', 'high-speed valve actuation', 'power electronics', 'login controller']"
65,Journal of Web Engineering,Integrating Semantic Run-Time Models for Adaptive Software Systems,1544-5976,,"['Francesco Poggi', 'Davide Rossi', 'Paolo Ciancarini']","['Department of Computer Science and Engineering (DISI), University of Bologna, Bologna, Italy', 'Department of Computer Science and Engineering (DISI), University of Bologna, Bologna, Italy', 'University of Bologna (Italy) and Innopolis University (Russia) ']",2019-01-01,,"Software-intensive systems work in ever-changing environments requiring expensive technical efforts to manage their evolution. In order to mitigate their risks and costs they should dynamically self-adapt to any modification of their environment. MAPE-K (Monitor,
Analyze, Plan, Execute – Knowledge) is the basic architectural pattern for building software-intensive self-adaptable systems. In this paper we propose an approach in which all the information about a system and its environment is unified by using Semantic Web technologies into a set of semantic run-time models which enhance the Knowledge in MAPE-K. Ontologies are used to manage the interaction and integration of these models with disparate data sources. The resulting knowledge base is then used to drive adaptation activities exploiting well known languages and notations. We discuss how MAPE-K can be exploited in order to take advantage of ontological representations, along with Semantic Web languages and tools, by studying a real-word case study: a legacy system that was not designed to perform automatic adaptation. We discuss merits and limits of our approach based on semantic runtime models both in the context of this specific case study and in a broader scope.",https://journals.riverpublishers.com/index.php/JWE/article/view/3171,"['Autonomic systems', 'adaptive software', 'MAPE-K', 'Semantic Web', 'ontology']"
66,International Journal of Fluid Power,Predicting solenoid valve spool displacement through current analysis,2332-1180,10.1080/14399776.2015.1068549,"['Alexander C. Yudell', 'James D. Van de Ven']","['Department of Mechanical Engineering, University of Minnesota, 111 Church St. SE, Minneapolis, MN 55455, USA', 'Department of Mechanical Engineering, University of Minnesota, 111 Church St. SE, Minneapolis, MN 55455, USA']",2015-11-01,133-140,A method of identifying solenoid valve transition events by analyzing the current through the solenoid coil is proposed. Solenoid valves experience lags and transition times which are non-trivial in the context of control methods that require precise valve timing. The proposed methodology allows a user to positively identify the beginning and end of valve transition events through identifying slope changes in the solenoid coil current traces. This methodology was shown to identify the timing of valve transition events with less than 7% error when compared to measuring the position of the valve spool with a laser displacement sensor. The proposed methodology is based upon measuring the current through the solenoid coil and requires no modification to the valve or valve housing to achieve these results.,https://journals.riverpublishers.com/index.php/IJFP/article/view/184,"['solenoid valve', 'valve transition', 'current measurement']"
67,International Journal of Fluid Power,HYDRAULIC SYSTEM PROTECTION AGAINST CATASTROPHIC LINE FAILURE USING NEWLY DEVELOPED SAFETY VALVE,2332-1180,,"['Medhat K. Bahr Khalil', 'Donald M. Loper']","['Milwaukee School of Engineering; Applied Technology Center, 1025 North Broadway, Milwaukee, WI, 53202-3109, USA', 'Smart Flow Technologies, 5801 West Brentwood Ave, Milwaukee, WI, USA']",2008-08-01,35-46,"Hydraulic hose and line failures in the field cause an extreme hazard to operators, work crews, and the environment. This happens more than is reported on a daily basis. Hydraulic line breaks are a good reason for the increased fluid replacement bills of nearly all industrial and mobile hydraulic equipments. Sadly, we can fairly say up to now, there has been no cost effective solution introduced to the industry to resolve this hazard effectively until now. In this paper, a patent pending device is proposed as a realistic and feasible solution to offer protection when catastrophic accidental line breaks occur. The device consists of a modified spool design, found in velocity fuses with an optimized dynamic surge chamber. A mathematical model to describe the valve’s dynamic response has been developed. This mathematical model has been used to assure the feasibility of the idea by simulating the valve’s response over a wide range of working pressures. The agreement between the simulation results and the prototype lab experiments validates the mathematical model. Results are presented and discussed. As this is pending patent, the article focuses on the feasibility of the idea, the valve diagrams are simplified and some critical data are omitted for the protection of the owner.",https://journals.riverpublishers.com/index.php/IJFP/article/view/526,"['leakage', 'hydraulic line', 'hose', 'safety', 'valve']"
68,International Journal of Fluid Power,COMPOSITIONAL MODELLING OF FLUID POWER SYSTEMS USING PREDICTIVE TRADEOFF MODELS,2332-1180,,"['Richard J. Malak Jr.', 'Lina Tucker', 'Christiaan J.J. Paredis']","['Systems Realization Laboratory, G.W. Woodruff School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA 30332', 'Systems Realization Laboratory, G.W. Woodruff School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA 30332', 'Systems Realization Laboratory, G.W. Woodruff School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA 30332']",2009-08-01,45-55,"System-level decisions can have a large impact on the success of any design project, including those in the fluid power domain. Regardless of efforts by designers to optimize individual fluid power components, poor decisions at the systems level can lead to poor system performance and unsatisfied design requirements. In this paper, the principles of system-level decision making are applied to the design of fluid power systems. Describe a methodology for modelling fluid power component technology using predictive modelling and data mining techniques in a way that facilitates system- level modelling and decision making is described. This approach is demonstrated on the design of a hydraulic log splitter.",https://journals.riverpublishers.com/index.php/IJFP/article/view/499,"['systems design', 'tradeoff modelling', 'parameterized Pareto frontiers']"
69,International Journal of Fluid Power,LEAKAGE FAULT DETECTION IN HYDRAULIC ACTUATORS SUBJECT TO UNKNOWN EXTERNAL LOADING,2332-1180,,"['Liang An', 'Nariman Sepehri']","['Department of Mechanical and Manufacturing Engineering, The University of Manitoba, Winnipeg, MB, Canada R3T 5V6', 'Department of Mechanical and Manufacturing Engineering, The University of Manitoba, Winnipeg, MB, Canada R3T 5V6']",2008-08-01,15-25,"This paper describes development and experimental evaluation of a hydraulic actuator leakage fault detector based on the extended Kalman filtering (EKF). Identification of external leakage at either side of the actuator as well as the internal leakage between the two chambers is examined. The present work is built upon previous work by the authors, but incorporates a significant improvement in that the new scheme is capable of detecting leakage faults for actuators that are also subject to unknown loading and/or significant friction. Experiments on a laboratory-based hydraulic actuator, using both structured (sinusoidal) and unstructured (pseudorandom) test signals show that: (i) under normal (nofault) operating condition, the EKF-based state estimator closely predicts the states of the system and the external load, including actuator friction, using only a few measurements, (ii) in the presence of leakage faults, the level of residual errors between the estimated and the measured line pressures increase indicating the occurrence of faults and (iii), different leakage fault types and levels can be identified by tracking the pattern of the residual errors and without a need to model leakage faults. The present work lays a foundation for developing on-line leakage monitoring systems for hydraulic actuators.",https://journals.riverpublishers.com/index.php/IJFP/article/view/523,"['fault detection and isolation', 'extended kalman filtering', 'leakage', 'hydraulic actuators', 'friction', 'environmental interaction.']"
70,International Journal of Fluid Power,Demonstrating a Condition Monitoring Process for Axial Piston Pumps with Damaged Valve Plates,2332-1180,10.13052/ijfp1439-9776.2324,"['Nathan  Keller', 'Annalisa  Sciancalepore', 'Andrea  Vacca']","['Maha Fluid Power Research Center, Purdue University, 1500 Kepner dr., Lafayette, IN 47905, USA', 'Maha Fluid Power Research Center, Purdue University, 1500 Kepner dr., Lafayette, IN 47905, USA', 'Maha Fluid Power Research Center, Purdue University, 1500 Kepner dr., Lafayette, IN 47905, USA']",2022-02-22,205–236,"Unexpected pump failures in mobile fluid power systems result in monetary and productivity losses, but these failures can be alleviated by implementing a condition monitoring system. This research aims to find the best condition monitoring (CM) technique for a pump with the fewest number of sensors, to accurately detect a defective condition. The sensors choice in a CM system is a critical decision, and a high number of sensors may result in disadvantages besides additional cost, such as overfitting the CM model and increased maintenance.
A variable displacement axial piston pump is used as a reference machine for testing the CM technique. Several valve plates with various magnitudes of quantifiable wear and damage are used to compare “healthy” and “unhealthy” hydraulic pumps. The pump parameters are measured on a stationary test rig. This involves observing and detecting differences in pump performance between the healthy and unhealthy conditions and reducing the number of sensors required to monitor a pump’s condition. Observable differences in drain flow were shown, and machine learning algorithms were able to successfully classify a faulty and healthy pump with accuracies nearing 100%. The number of sensors was reduced by implementing a feature selection process and resulted in only five of the 23 sensors to correctly detect pump failure. These sensors measure outlet pressure, inlet pressure, drain pressure, pump speed, and pump displacement. The resulting reduction of sensors is reasonably affordable and relatively easy to implement on mobile applications.",https://journals.riverpublishers.com/index.php/IJFP/article/view/1199,"['Axial Piston Pump, Machine Learning, Condition Monitoring, Mobile Hydraulics, Fault Detection']"
71,International Journal of Fluid Power,ELECTRONIC CONTROL OF PUMP PRESSURE FOR A SMALL HAPTIC BACKHOE,2332-1180,,"['Matthew E. Kontz', 'Wayne J. Book']","['Caterpillar Inc. – Technology and Solutions Division – Hydraulics Research, Peoria, IL, USA', 'Georgia Institute of Technology – G. W. Woodruff School of Mechanical Engineering, Atlanta, GA, USA']",2007-08-01,5-16,"The use of haptic interfaces to control mobile hydraulic machinery has several enhancing features over traditional human-machine interfaces comprised of joysticks/levers. This paper presents and analyzes schemes for controlling pump pressure designed for coordinated haptic control. Typical of many small backhoes and excavators, the hydraulic system used on the test-bed is comprised of a constant displacement pump and proportional directional control valves. In this type of system, a main pressure regulator is needed to supply the other closed-centre valves with pressure and to dump the additional flow generated by the pump to tank. An energy-saving solution has a load-sensing pressure regulator that maintains the system pressure to a preset margin above the highest active load pressure. Using these valves for haptic applications requires closed-loop control. Applying closed-loop control to these valves can excite instabilities in the valve assembly due to complex interactions and nonlinearities in the load-sensing pressure regulator and proportional valves. On this setup, the hydro-mechanical pressure regulator has been replaced with one that is electronically controlled, and a non-linear filter is utilized to decouple oscillations in port pressure from the pump pressure input signal. This filter does not slow down the build up of pump pressure. Experimental results with multiple degrees-offreedom are presented.",https://journals.riverpublishers.com/index.php/IJFP/article/view/538,"['haptics', 'excavators', 'backhoes', 'coordinated motion', 'electronic load sensing', 'pressure control']"
72,International Journal of Fluid Power,Numerical and experimental investigation on a conical poppet relief valve with flow force compensation,2332-1180,10.1080/14399776.2017.1296740,"['Roberto Finesso', 'Massimo Rundo']","['Dipartimento Energia, Politecnico di Torino, Torino, Italy', 'Dipartimento Energia, Politecnico di Torino, Torino, Italy']",2017-08-01,111-122,"Numerical and experimental investigations have been carried out in order to study the effect of the poppet geometry on the flow-pressure characteristic of a direct acting pressure relief valve, which is equipped with a flow deflector for flow force compensation. A dynamic 3D-CFD model was built in ANSYS Fluent™, which is capable of simulating the interaction between the fluid flow and the poppet dynamics by means of mesh deformation and of a user-defined function (UDF). This model was applied to predict the flow-pressure characteristics of the valve for different spring preload settings and deflector geometries. The simulated curves were validated using experimental data acquired at FPRL (Fluid Power Research Laboratory) at the Politecnico di Torino, and an excellent agreement was found. The CFD model was then used to predict the effect of geometric parameters of the poppet, such as the cone angle and the position of the deflector. Finally, a 0D model has been developed in order to predict the flow forces; this model requires very few calibration points using 3D-CFD simulations, and can easily be implemented in lumped parameter simulation tools. It was found that this model leads to a satisfactory prediction of the flow-pressure characteristic of the valve.",https://journals.riverpublishers.com/index.php/IJFP/article/view/156,"['CFD', 'flow forces', 'conical poppet', 'Relief valve']"
73,International Journal of Fluid Power,Study on Dynamic Characteristics of Negative Flow Control Variable Axial Piston Pump for Hydraulic Excavator,2332-1180,10.13052/ijfp1439-9776.2235,"['Jin-yan Shi', 'Ke-chang Zhang']","['Hunan Railway Professional Technology College, ZhuZhou 412001, China', 'Hunan Railway Professional Technology College, ZhuZhou 412001, China']",2021-09-15,393–408,"Hydraulic excavator is important mechanical equipment in engineering construction, which is widely used in mining enterprises, construction industry, etc. Variable axial piston pump is the main power component of hydraulic excavator. The negative flow control variable axial piston pump is deduced and the mathematical model is established. The dynamic simulation model of negative flow control variable axial piston pump is built by using SIMULINK in MATLAB software, and the simulation analysis is carried out. The influence of the main parameters of negative flow control mechanism on the dynamic characteristics of negative flow control variable axial piston pump is obtained, which provides a reference for the parameter design of negative flow control mechanism.",https://journals.riverpublishers.com/index.php/IJFP/article/view/8667,['Hydraulic Excavator；Negative flow control; Variable Axial Piston Pump; Dynamical characteristics']
74,International Journal of Fluid Power,A hydraulic hybrid excavator based on multi-chamber cylinders and secondary control – design and experimental validation,2332-1180,10.1080/14399776.2018.1447065,"['Kim Heybroek', 'Mika Sahlman']","['Volvo Construction Equipment, Eskilstuna, Sweden', 'Norrhydro OY, Tampere, Finland']",2018-08-01,91-105,"In this paper, a special type of multi-chamber cylinders along with secondary controlled hydraulic motors are key components in the design of a highly efficient hydraulic series hybrid system. The system is developed for and tested on a large excavator (30-ton class). The evaluated system supports potential and kinetic energy recovery and storage using hydraulic accumulators. Through proper sizing of components and sophisticated valve control, an energy-efficient flexible and robust hybrid system is achieved. The study describes how the demonstrator is tested in real truck loading cycles. A detailed energy analysis is also presented to explain the energy flow inside the hybrid system.",https://journals.riverpublishers.com/index.php/IJFP/article/view/146,"['multi-chamber cylinder', 'digital hydraulics', 'Secondary control']"
75,International Journal of Fluid Power,The impact of peak-and-hold and reverse current solenoid driving strategies on the dynamic performance of commercial cartridge valves in a digital pump/motor,2332-1180,10.1080/14399776.2015.1120138,"['Farid Breidi', 'Tyler Helmus', 'John Lumkes']","['Department of Agricultural and Biological Engineering, Purdue University, West Lafayette, IN, USA', 'Department of Agricultural and Biological Engineering, Purdue University, West Lafayette, IN, USA', 'Department of Agricultural and Biological Engineering, Purdue University, West Lafayette, IN, USA']",2016-03-01,37-47,"Valve dynamics play an important role in existing fluid power systems and are key enablers to a wide range of digital hydraulic systems. Varying the electrical input signal to the solenoids is used to improve the dynamic performance and response times of on–off valves by reducing the eddy currents and coil inductance. This work examines the effects of the peak-and-hold and reverse current driving strategies on the performance of two commercially available direct actuated valves, and the resulting impact on the efficiency of a digital pump/motor. An electric circuit was designed to execute the driving strategies and a single valve hydraulic test stand was assembled to perform the valve timing studies. The differential pressure across the valves was found by installing the valves between two high frequency pressure transducers, allowing the calculation of the transition and delay time of the valves. The durations of the peak and reverse voltage signals were varied over a range of 0–10 ms with a 1 ms increment. Peak voltages were between 50 and 55 V, followed by a holding voltage of 12 V. The optimum response was found at peak duration of 6–8 ms. A reverse current strategy was used to increase the decay rate of the eddy currents during a turn-off response, improving the response time. The modified peak-andhold input signal was able to improve the turn-on response time of a commercially available valve from a range of 33–55 ms to a range of 7–9 ms, while the reverse current signal was able to improve the turn-off response time from around 130 ms to a range of 16–50 ms. These valves were then tested both in simulation and experimentally on a three-piston digital pump/motor to examine the improvement of the pump/motors efficiency resulting from the improvement of the valves switching times. The improvement in valve performance resulted in significant energy savings; up to 15 and 12% in the simulation model and digital pump/motor test stand respectively.",https://journals.riverpublishers.com/index.php/IJFP/article/view/178,"['Digital hydraulics', 'High speed on/off valves', 'Pump/ Motor', 'Peak and Hold', 'Valve driving strategies']"
76,Journal of Web Engineering,A Boxology of Design Patterns for Hybrid Learning and Reasoning Systems,1544-5976,,"['Frank van Harmelen', 'Annette ten Teije']","['Department of Computer Science, Vrije Universiteit Amsterdam, Netherlands', 'Department of Computer Science, Vrije Universiteit Amsterdam, Netherlands']",2019-01-01,,"We propose a set of compositional design patterns to describe a large variety of systems that combine statistical techniques from machine learning with symbolic techniques from knowledge representation. As in other areas of computer science (knowledge engineering, software engineering, ontology engineering, process mining and others), such design patterns help to systematize the literature, clarify which combinations of techniques serve which purposes, and encourage re-use of software components. We have validated our set of compositional design patterns against a large body of recent literature.",https://journals.riverpublishers.com/index.php/JWE/article/view/3175,"['Hybrid systems', 'neurosymbolic systems', 'knowledge representation', 'machine learning', 'design patters']"
